tweet_id,sentiment,author,content
1956989601,angry,M0anique,cayogi want come bz summer sure anymor teacher life summer suck
1956989914,sad,Fowl2,first ever drop call mobil call less charg data even though data pack
1956990288,angry,MissPassion,win sigh rakeem
1956990413,neutral,Wendywitwoo,oh time real
1956990568,sad,sarah_walter,darn allergi like time year never use problem either
1956990729,sad,marpizza,oh one minut late oh well
1956991009,angry,rdyfrde,damn suck
1956991673,sad,M0anique,want come bz summer sure anymor teacher life summer suck
1956991704,angry,Tweetyangie,websit gave virus open window kept pop
1956991723,sad,briwyatt,ahh big scari bug fli around room
1956992030,sad,mafiaman8108,wish knew put stole heart never gave back occasion like like look
1956992144,sad,Margotkay,nasti cough cant sick huge weekend ahead
1956992349,neutral,jarekpastor,stone cold crazi
1956993007,neutral,villa_ld,tire
1956993080,neutral,cheiyinkeithsui,shift time bbye biochem waaaaahhhhhh
1956993206,neutral,dashdragan,sure some1 cum play workin til midnight
1956994067,neutral,lockerhaxor,second wish rain
1956995196,sad,jnvelasquez912,earli happi day birth case make tire therapi today n take medicin misshu love ya
1956995505,neutral,twakatovsrocks,damn eric anyon els need hair play
1956995679,neutral,jmil1733,feel deflat ugh dog
1956995762,sad,foxtail84,allergi suck duck nut 8
1956995852,neutral,ErikaAlexxis,well almost good day guess retri tomorrow
1956996081,angry,snursalim,waraku tasteless expens portion littl waraku
1956996385,happy,votech,sound good appreci suggest week still offlin time ask refund
1956996470,sad,ohmygoshnina,die wait magic jack read
1956996673,angry,Merekdavis,youstinkatrespondingtotext
1956996730,sad,Rowch,wonder karma point turn 0 00
1956996765,happy,rarmendariz,need pack cali cali cannot waittt think glass wine order celebr weekend vaca still work 2morrow tho
1956996776,sad,KitaCupcake,miser feel like im gona cri sux
1956997143,neutral,louiethecat,well ran beer left sure eta wait wait wait bleh gonna long nite methink
1956997352,sad,1azylizzie,nose stud fell find look like head amsterdam today get new one
1956997619,neutral,kudosbeauty,clair love show got offic 5am radio
1956998370,happy,rockinchick11,pat philli 2 love mmm cheesesteak miss boyfriend love vacat
1956998532,sad,katienaas,sigh go bed feel right anymor
1956998538,neutral,jeannicole,focus tom much see belov barack oh must vote poor presid 626 vote
1956998698,neutral,FoOie,epicentr wheelock place tourist
1956998704,sad,sillynic,depress watch think danc
1957000040,sad,minauderie,cross caus stuck twiddl thumb ugh
1957000077,neutral,danzjoe,miss 16 th
1957000152,neutral,RoxieDax,know like said idea long take investig stuff
1957000290,sad,Ohtybaby,cant sleep im sore move
1957000314,neutral,Phenikone,awe miss babi
1957000336,neutral,Gen22,answer never learn write french basic stuff
1957000372,neutral,cv70,chocol never say
1957000788,sad,zpavic,achiev new appreci xml build script realli pain cumbersom
1957001049,neutral,amy__xx,awak ill nap afternoon
1957001370,sad,katlovesjoelk,cant anyth
1957001496,neutral,miss_sammi,still need anoth 6 hour sleep
1957001506,happy,benmfowler,work
1957001854,happy,Samiijoo,rip leonardo great mini fiddler crab
1957001967,neutral,mozwold,morn tweepl way earli
1957002082,sad,V0NST3V3,last day work uni today sad time
1957002773,happy,UncoolRockstar,thank neemah gonna soooo close izzi yet far
1957002923,sad,indpndentgirly,head hurt bad could scream
1957003048,sad,rianne_kelsey,go im tire airmatra broken somewher im even pain
1957003356,sad,nettlej,new work well challeng go well commit check email 10 pm 6 fail first day twice
1957003440,sad,autotips,new blog post blog auto insuran found auto insur polici expir careless meanw
1957003715,neutral,BlaqueBeautyy,bestfriend mia wat
1957004184,sad,rionne,oh men realli see face c mon guy
1957004519,sad,asteinke,show age renew tag last week went 20 got insur renew email today went 100 wanna old
1957004606,sad,riannasc,sole support sole support
1957004749,angry,golden_one,hate finish work still 1 25 hour left work time
1957005165,sad,RebeccaBrunner,urgh stop guy
1957005226,sad,GiselleLee,still miss husband realli want home
1957005279,sad,PYTDavis,miss puppi
1957005410,angry,HIM357,2 day month left 400mb left onpeak download
1957005696,happy,nickhalme,get memo look amaz
1957005713,sad,smilyross,given pizza kid would never let fav hot one
1957005817,sad,JBabyLove,read tabloid peopl live think gonna mine babi leav
1957006033,sad,klybob,yearl pet home die sad whole famili
1957006074,neutral,rnbprincess79,fun sun hmmm hell cold
1957006098,sad,puelladei,got giant splinter stuck underneath finger nail today muppet hurt got go first aid first time
1957006245,sad,bella_facia,hate chang cours fan life 3 oh met rob someth went horribl wrong
1957006307,sad,ninz_0214,feel sad reason
1957006547,sad,spookychan,well fuck new pain med odd warn actual appli take chan displeas
1957006674,sad,nel5on,upload new blog pain stori 80s year old man cri want die sad
1957006725,neutral,andrewjennings,think want detail
1957006830,neutral,AddITame,hi mari poppin
1957006947,sad,miiiiiiike,addict kind curs night time everytim one feel like make music afterward
1957007167,neutral,Dillontate,last tweet send bad phone
1957007268,happy,EmaMolly,omg ur aliv lol 2day gone sooo slow go insan grrr anyth tonight
1957007357,neutral,_SNO_,headach go bed goodnight
1957007394,neutral,jarekpastor,watch parent control
1957007437,happy,grrimadinox,get california vintag ahahah best dress want dont ebay
1957007633,sad,IAmYourDensity,saw pic past thanksgiv sad grandma
1957007981,sad,MunkyMunch,wont let
1957008075,sad,Inamint,took shift tomorrow realli feel like work right
1957008193,sad,kimchiipanda,money phone
1957008287,sad,KarlOnSea,spent last night e er wife tangl wheel daughter hit deck disloc fractur result
1957008292,sad,RoseMarionTyler,9 day readi visit torchwood see heard anyth
1957008434,angry,Just_Cath,bris hear thunder
1957008478,angry,bekahjayne,bec vs fat food winner fat food weeknend ill beat
1957008498,sad,CathyDohling,bad red devil disappoint say least
1957008766,angry,shutitoff,dream pretti pretti beach beach woke
1957008802,sad,pfak,3ware 9650se fast enough 3x x25 ssd raid5 800mhz iop hpt might tri adaptec 5405 1 2ghz
1957008987,angry,lilTanker,da heck garag man get ask
1957009454,sad,woahitsJana,ate mandi pleas forgiv realli sorri wanna lose bff
1957009666,angry,wendyisastar,umm yeah probabl pretti good note self eeeeeewwwwwwww
1957010072,sad,tiffalo,plane ticket expens
1957010329,happy,NoteRobot,umm yeah probabl pretti good note self eeeeeewwwwwwww
1957010415,sad,trina3mg,need job bad
1957011291,sad,ABCeCe,daaammmnnnnn wish
1957011738,sad,ignoredt,went di bella coffe roaster today ask job person need speak holiday fb
1957012476,sad,nickhalme,play latter part voodoo villag part co op lost usual partner
1957012535,neutral,SexyBeach,nite n bore oppos almost sleep frm b 4
1957012769,sad,ditzyfrenchfrys,bad friend
1957013149,neutral,cheeseyy,happi birthdayyy hope awesom day see next last night
1957013166,angry,jupzchris,im shit right im vacat got workin
1957013488,neutral,LetitiaIvy,ill oir
1957013697,neutral,Labellajuicy,guess go girli still gym work 6 30am
1957013723,angry,babygurl0791,would wish sever migrain would stop doc prescript arent work
1957013804,happy,jammmaster1021,miss game
1957013885,sad,debraladiva,internet last night er brill massiv explos end nearbi gas work er standbi
1957013895,angry,kkjordan,cuz airlin super lame
1957013896,sad,sigitt,still piti come lamb though
1957014267,sad,Karoli,sorri hear optimist thing get better us
1957014389,happy,misscinders,done paint bedroom furnitur still tabl wait move uggh move heat
1957014493,angry,Taynted_lyfe,tire insomnia
1957014517,neutral,dalastmil62,hungri fool ill probabl never see krispi kreme enjoy close
1957014653,neutral,sloanquigley,airport didnt show tonight homo
1957014706,angry,butteredninja,hate bakersfield hate port let go home alreadi want start vacat
1957015287,neutral,skk123,
1957015475,neutral,WgtnCoffeeCup,look desktop twitter app actual let access url suggest like twittl link
1957015719,sad,dancingwithself,peopl hous know close door
1957016086,angry,chrisshennan,complet facebook quizz time morn especi friday morn
1957016169,neutral,thatonebroad,soooo hungri
1957016339,sad,R_nB,like possibl left side brain hurt thing call vp shunt possibl death
1957016697,sad,fritoleva,cancel wow
1957016818,sad,PnkRckGirl97,want make music profil money know write music know play instrument studio
1957017164,sad,RoxieDax,yeah sad ravenclaw account love account bit
1957017177,sad,KCSuzy,1 15 hear helicopt fli hous kind weird news headach back booooo
1957017320,sad,xSpotlighted,oh alway 3
1957017333,neutral,serinurshira,back school ms suhana last day ft ocu okay play altnoy
1957017486,neutral,skypen,poll tri get work powerpoint avail
1957017522,happy,Davislb921,took math test today day test teacher say bring calcul luke confid teacher decid calc
1957017595,happy,c10gg3rgirl,omg concert awesom madrig gave chill almost everi piec brook also call alumni didnt get go
1957017610,neutral,thetoughsams,yeah terribl cockatoo hardest live emot good thing found though
1957018061,sad,lsvdmbfan,late nothin 2
1957018162,sad,leilanire,think vog make sicker think feel slight achi
1957018678,neutral,oohZOE,watch harper island lol vodka involv
1957019034,sad,monkeylover96,homework sux big time math worst
1957019121,neutral,portablegamer,would better imo let play 3 song provid start get black
1957019458,neutral,RefinedCaliber,3wordsaftersex never start
1957019556,sad,JMarmo13,sometim wish thing could go back way begin last summer
1957019715,sad,Mrs_Jackman,download new twitterfon updat think fix type problem new tweet
1957019766,neutral,retroglo,trudi burnet one north one goe
1957020180,sad,ChickenNuggets,feel way guess matter alway meme
1957020385,happy,itspaigepenales,30 minut treadmil done 30 minut today alreadi gonna 20 minut
1957020390,sad,Karmenyl,sooooooooooooo confus
1957020593,neutral,anbudan_BALA,friend like vaiko nedumaran ltte need enemi wrong advic wrong time led numer death lost caus well
1957020624,sad,Tonysize,work day 7 7
1957020702,happy,HD_Fury,chillin roomi wait zombi clwn cr gonna 6 8 week
1957020861,neutral,BritishAtHeart1,looov guitar play think sound magnific better
1957021039,sad,Musti08,refund retriev account take like week hope thief use hack permaban
1957021224,neutral,la_oooo_ra,im cri lol
1957021305,sad,AndyClaudine,cute malay girl came seemi room rent sad think guyfreind bit mislead disappoint lol
1957021321,angry,FoOie,epicentr wheelock place 250 unit tourist start today
1957021486,angry,karissaferg,hate new mt dew commerci one giant mosquito scare gross time
1957021631,neutral,KittyPoops,come knight well 4 hour
1957022610,sad,leonperkin,super keen drive home rain addit concentr requir realli wanna deal
1957022799,angry,dan11ela,aw u let secret
1957023061,angry,MissxMarisa,im sorri think stick least compar use look like
1957023133,sad,AmyFuentes,transport church wont make im crush oh well time assign suppos throat realli hurt
1957023263,angry,youulovemee,hate see pregnant women smokinggg sooo irrespons n selfish saaad ultim babi one suffer
1957023739,angry,Tin06,lie lie lie cant avoid lie practic everyth
1957023842,neutral,hoolahoopchick,twittascop rock sock go away alreadi
1957023917,neutral,schlingel,drive back home forgot piec cake
1957024334,sad,o0hmaig0d,tri jump without trampolin like thud thud eaten cooki
1957025428,sad,lungjen,everytim send email coach feel need practic shitti ball lol
1957026475,sad,annamaurice,piss let follow ericka
1957027495,sad,FreddyS87,go sleep peac want hear say good night happen good night everyon
1957027630,sad,CforrClemmensen,mum tri make feel ebtter stop vote adn win shortstack almost cri
1957027687,neutral,lucasd,close taco one spot late
1957027841,neutral,730Fam,umm bout em aint get 2 see da game see dey surviv anotha game da seri due notin lebron im guessin
1957028656,angry,Fairywinds,think much work
1957028775,sad,MllexCamelia,forgot live jona brother facebook
1957028895,sad,d0nnadean,seen muffin two whole day
1957029111,sad,InNoSenseLost,miss back give regard
1957029634,angry,maddy_1212,gap year go quick
1957029641,sad,jocelleuntalan,admit bit bum friend walk today
1957029899,neutral,tokyojackson,girl blunt soooooooo thought right absolut great day stressor come home
1957030196,sad,SoSpoiledDatsMe,twitter hack
1957030545,sad,faddict,found mj mous flat djs cours none left size
1957030596,neutral,PULLINGTEEETH,wont time buy need new binder pa
1957030622,angry,sharnanicole,hahaha well tri ugli
1957030793,neutral,aeria_gloris,25 man ulduar hard
1957031520,sad,Intel_Eric,even want know know vhemt go miss
1957031859,happy,KylieMalchus,awesom weekend go move sat lot fun though
1957032014,neutral,Simranvfc,night night twitter world still cant believ thoma thing tomorrow gunna fun sad
1957032051,neutral,allieeeec,happen
1957032114,angry,johnnypurple,oh hug
1957032127,neutral,minauderie,bore talk someon busi someth els kinda bummer idk
1957032228,sad,tiffanylue,knoww thing same 3
1957032539,sad,tweeterchic66,omg ness 11 18 pm need beup earli set garag sale start 8am wish said 9am beat
1957033043,happy,carlysialevert,kno doooo yall partyin
1957033103,sad,sjwilling,okay twitter sudden chang respond messag
1957033219,neutral,mstellacrap,ugh dad told read articl kavya shivashankar spellin bee girl like
1957033558,sad,Rossco_NZ,decid matter good hair look cur justifi burn get curler hand cover suck
1957033776,sad,vivianenguyen,go sleep gonna fall asleep play app tmrw go suck
1957033815,neutral,ANDREAMARIEXOXO,yea gotta 7 30
1957033874,angry,Lilixbabi3,hate bf beat da dog guess way teach pitt
1957033901,sad,ACjoint,sprain ankl like realli bad tore stuff hurt birthday weekend
1957034202,sad,JohnnyFiction,believ metal gear solid song stolen disappoint
1957034289,angry,kimba1bl,think may broke toe bar tonight thank drunk girl steppin
1957034434,neutral,dawnoftheprawn,one sale done today work explor balconi big theater w cowork fun day void chili fri tip
1957034566,sad,mara_nerdgirl,wish left 4 dead first need someth play
1957034940,neutral,mommyanjayyy,
1957034983,neutral,djcosta1977,stori remind live portug
1957035419,neutral,twinkleval,your diabet dad might sure still allow eat sugar throughout day
1957035564,happy,rondhi,spill beer leg wast half beer home met cute girl good convers
1957035950,angry,geezitslouize,roommat love ignor
1957036183,neutral,LizSkoczylas,make nacho tomorrow better would made
1957037405,neutral,cynthiaperez,yeahhh dont judg pillow
1957037860,happy,oh_slc,scari lightn thunder glad go sleep hope late school tomorow haha
1957038324,sad,judez_xo,teeth head hurt
1957038398,sad,christynnicole,hate rob zombi movi smell weed vommmm
1957038470,angry,No1PanicFan,math scienc strongest think dunno bout geographi like 1 day studi 1 2 year work
1957038475,neutral,kameezy,wait line tryst
1957038477,sad,LinksMommy,hope get job cuz need apart drunk miss lil punkin tehe
1957038763,sad,xxkxx07,got home want read last chaper break dawn caus dont want beover
1957038970,sad,melissacalderon,need held gnite
1957039203,sad,megan_kelli,hang sam billi veronica go school tomorrow take sam bodi shop dang car accid
1957039456,sad,trixbiscuits,arrest develop sad
1957039841,neutral,Elliecopter_,wick time leav come cant stay night
1957039894,sad,TheNewBradie,omg keep lose follow sad want 90 one day that goal
1957039922,sad,jmil1733,feel deflat doggi
1957039947,sad,Ennjo,wanna see hair how everyon
1957040172,sad,kourt_1023,empti trash mac one difficult thing ever done life 8 000 pictur gone
1957040395,sad,joe_uberkawaii,im contact paw philippin find tiger new owner im sad love dog soo much
1957040988,sad,xxkxx07,got home want read last chaper break dawn caus dont want
1957041569,sad,searchformatt,aww pray arroyo famili everyon
1957041648,neutral,ssanyal,manual process take 4ever outlook databas pffff crappi msft product
1957041745,sad,ROBOKAWAII,fuuudg movi store close
1957041767,sad,courtneyyy3,alo sad quiet empti tonight
1957041812,angry,MissxMarisa,hahahaha horribl other sing sure could work wish could afford drum set
1957041856,sad,Kgreenel,never answer dm sent need info
1957042008,sad,kharise,tri get pilot first season friday night light oh gosh pass tissu
1957042316,sad,heartbeam,aw head cancel trip aussi
1957042474,sad,andimoonpie,cystic lacrim infectect eye face swollen hurt
1957042509,sad,thecareysisters,think anyon caught
1957042579,neutral,rebekahlynne,need sleep even tire
1957042734,neutral,Kayleia,0
1957042799,neutral,sparklyrainbowz,oh nevermind think thing unsalvag
1957042862,neutral,Kaxiee,lyin bed faaaaar earli
1957043226,sad,lindseyrivera,sad christian lacroix file bankruptci
1957043241,sad,princessniki1,dont feel good fuckkk
1957044366,neutral,snoopync18,agre work doubl shift
1957044680,sad,SomeThingTiny,look like never go zoo
1957044694,sad,ABabyBlueEyes,ohh poor girl email reli octob mr
1957044783,neutral,brianalotto,medhurst play
1957044789,sad,GothWab,bad time
1957044935,angry,helenmurdock,aarrgghh fu k hose leak water new float floor
1957045395,sad,DudeAsInCool,go dread dmv tomorrow
1957045641,neutral,kbeilz,bit ben thai ed
1957045692,happy,Fredrikkk,english class work interact oral
1957045940,sad,dzgraphicdesign,thank rec work
1957046053,neutral,alexandraduggan,sorri excit tomorrow night karaok get anyth special bday
1957046090,sad,TweedyLynn,puppi gizmo h8s haha still growl alway look back long prupl scar fingi
1957046631,sad,Atheprincez,know ima work tomorrow wit bodi dis sore ugh
1957046815,neutral,md_alston,7 11 w
1957047408,neutral,kbeilz,yeah plus littl far walk pinocchio sushi
1957047569,sad,kilrturkey,feel pressur head alway kick nasti headach look forward
1957047571,sad,marissazaguirre,taylor swift joe jona look realli good togeth kinda sad broke
1957047787,sad,CherTwinkles,suppos turn sentenc outlin research paper within hour onlin neck hurt
1957047828,sad,5Neezy,ladi across way miscarriag say prayer
1957048027,sad,imsoapee,god want sleep
1957048703,angry,JBMareMareJB,ohhhh thunderstorm boo alway make power go
1957048870,sad,jmil1733,feel deflat doggi
1957049167,sad,theangelicsin,found book start real paper bound journal tonight annoy zit lip make look like herp
1957050633,angry,STAR13R,ratt rock nashvill tonit one thing suck encor like 80 still fun show pearci hott bad boy look
1957050684,sad,Suemagoo01,feel bad got bad news mum
1957050747,sad,Nick_Myndflip,dun wanna
1957050890,sad,queenbmakeup,damn girl ya gotta let know get kit togeth got flyer next weekend
1957051517,sad,sloanquigley,dbl booooooo sick flippin blow bahaha kno dont mani friend either feel lame haha
1957052167,neutral,Fluffy_Cupycake,that think time gonna 1
1957052211,neutral,echothirteen,peep still fun time gotta sleep tho work cool hot chick none cool miss
1957052409,sad,divya084,feel like work think tweet often
1957052932,sad,shaghayeghhh,feel sick stomach idkk whyy
1957053170,sad,Tania_Satine,vineri nimic special sau probabil un alt weekend pierdut
1957053247,neutral,Roblex,count hour lost sunshin weekend
1957053338,angry,savindotme,dude saw sf pic look like mini excurs pretti kick ass see sun tho
1957053409,happy,gangstamittens,home safe hungri
1957053566,sad,Anime81,um thrown van yesterday taken er
1957055178,sad,dolphin8772,got final tabl went third think get free seat
1957055396,neutral,girlyghost,good morn work morn gut lol nevermind
1957055530,angry,TK04,work morn friend get parti stupid bberri lite flash red messag
1957055981,happy,montanaspeaks,fb bore wanna sing right
1957056027,sad,joslinjewels,link work
1957056041,neutral,AmyJade,hahaha know anyon anyth except power lol live bubbl
1957056896,sad,cadences,humpalow um ya think cell die
1957057026,sad,omaroonie,last day work sick bone
1957057469,sad,ohsht,feel like hous arrest
1957057586,neutral,m_y16,love like war easi begin hard end fiuuhh
1957058130,angry,iamQuest,ur suppos bk tho
1957058219,sad,ecctv,know shortag shell crab use beach due beach comber sad
1957058436,angry,Miiiiich,oh nighti night
1957058504,happy,neovile,must new music sleep give us chapter 1 might die first though hurri
1957059348,sad,chubbbie,stupid tooooth hurt
1957059587,happy,Pretty_Edgie,love song togeth song well think still
1957059671,neutral,D_MiKeY,readi go school
1957059917,sad,MelissaWOOF,comput broken broke laptop use phone ahh still caus fuck order
1957060283,neutral,mizzlizwhizz,good holiday chalet sight look v similar one go home today
1957060439,sad,Aeonflux21,sad economi heard anoth friend lose job sad remind
1957061418,sad,ashleeadams,start feel realli panicki anxious someth bad happen cos seem like age
1957061527,sad,morganis_21,dog ran awayyy
1957061884,angry,caitimac,suck bad
1957062262,sad,Flergs,back top molar extract swollen face numb toothach sinus pain
1957062621,happy,antonywu,finish 8 hour texa life insur ce tonight 22 hour go
1957062676,sad,iamsarahkelley,anyon know good rap song need make rap fun cd idea helllllpppp
1957062698,happy,ShirleyValverde,want go peru summer ahhhhhhh hope yesyesy miss
1957062783,neutral,moikusmanruzuar,happen maid quit
1957062827,sad,SamG2020,awak anybodi els awak wish live us sinc fun happen asleep
1957063783,angry,Craz_Monkay21,charl power lol damn savemart lost power could buy beer
1957063845,sad,nadanada,heehe love tire
1957064177,sad,q_ueenie,mobil phone refus charg either batteri broken chargerrr booooo
1957064253,sad,katiebisson,oh wish would get sign someth send let call meet someth
1957064566,sad,Monica2112,hmmm thought u sleep bad see video tomorrow night
1957064575,sad,barbieprincess,morn everyon sorri go earli last night bad news felt total crap today new day
1957064578,neutral,samantha_x,went beach start rain
1957064908,sad,Sh33na_C,wish parent put chines school younger much easier get job
1957065570,happy,davidbarrett1,yeah physic move appar report direct mr hayward
1957065963,neutral,sloanquigley,airport didnt show tonight homo
1957066120,sad,bozackula,jealous look like schindler list toronto
1957066701,happy,FinIsKing,want anoth tatt
1957067386,neutral,maneeraj,come erock left bah
1957067779,happy,Maureen12683,need make lot money tomorrow
1957067988,sad,whaaalian,room make sad
1957068229,sad,the1germ,near fell asleep jolt bed massiv panic attack sure sleep
1957068585,neutral,20K_MILLIONAIRE,gay made 200 tonight
1957068880,sad,GarageGlamorous,oh f ck complet forgot thirsti thursday oh gaga suck
1957069453,sad,charubhashini,one peopl wrong world blame peopl great world live shit
1957070273,angry,courtneyyy3,nope sleep cuz live east coast
1957070484,neutral,harempriestess,bet cool sr huh stop sweat sinc noon dad pack
1957070534,sad,jjae725,eww dislik
1957070786,sad,Jaydeyn,tactic mistak go citi librari buy milk knew ouch ouch ouch mayb good thing tri uni
1957070871,neutral,Bre_Baby,decid 2 tran frm relax 2 natur hair wish whole head look like root age instant gratif
1957071331,sad,only1lucylocket,sorri bout cat
1957071583,neutral,maica888,need increas salari
1957072308,sad,heyisabelle_,stomach feel like touch ground full
1957072400,happy,kaboyd5,pug woke incred sleep
1957072637,happy,destinyhope92,wait hear new album sure amaz pleas replay love much
1957072682,sad,anticlothes,sooo much work littl time
1957072896,sad,Jsskkaa,miss iron chef
1957073073,sad,iRoy,ds version suck
1957073201,sad,Katja112,bad day
1957073668,happy,kort030,know ridicul never got hang love chicago want go shop trip sound like fun
1957073753,angry,imayami,hate net ayaw bumuka ng twitter
1957073984,sad,GravesNovels,ugh internet
1957074101,angry,Ms_MaryJane,omg didnt tweet much today sad
1957074214,sad,nurulz,feel giddi wanna go home
1957074267,neutral,NACYBUL,week wasnt without adam lambert perform
1957074812,neutral,joslinjewels,link work
1957074977,sad,thewebguyuk,pack last day youth camp
1957075035,neutral,chowcassendra,gossip girl come back chaceeeeee
