sentiment,content
neutral,wait
happy,busi exam week come alway look bright side life whistl
neutral,man cut hair mean cori procut come
neutral,late n th night near forgotten name backspac trillion time appar sleep inevit nite
happy,love get littl peek dimpl
neutral,watch georg lopez went school play basketbal today pretti nice hot
angry,ugh hate 90 degre weather
happy,hang besti
angry,car crash tv worst
happy,good luck chan gue kmrn bawa backpack kosong quit help
sad,love new skype especi someon like live half world away home
angry,anyon ticket mtv movi award guy scam
sad,watch scrub season 2 oh gonna miss show
happy,lol armi starfleet rule meant broken get job done get medal
happy,happi mother day mom
angry,indiamissingindira could never solv kashmir problem kept burn vote bank\n terrorstatepak
neutral,fair
neutral,well know
happy,good cup cake
happy,call later tell weekend easier phone
angry,threat factor respect provoc bulb worm bnqo
happy,tis book call love sex tragedi high interest influenc classic modern world
happy,happi mothersday
neutral,feel like ive done london marathon ach
neutral,raini day get starv dream hot tea noodl
neutral,hide smile
neutral,grill dinner last night senior final kairo dinner steak spici mango sausag hot wing grill vegi corn
sad,star son hard review grab instant morn delay review 2nd listen tomorrow
happy,often imagin hoe moon would feel meet jovial moon special
neutral,sigh
sad,got hack game channel grim evil wood clown yesterday septemb 20 septemb 21 today
happy,happi mother day
happy,week fun hope next week even better nyc 19 day
happy,look great love way bottom
neutral,rearri rip youd never guess ate
neutral,ok lol think might date
neutral,go work soon
angry,broadband shock regret sign shouldofgonewithvirgin
neutral,
sad,haha lol go realli lol hobbit n mum like keep revisin beck
sad,gonna miss nanna bampa go lake disdrict omg got disney channel miss babi matt love x mitchel
happy,night night twitter love phone sleep
angry,sister 19 throw legitim temper tantrum get attent
happy,look got lunch today chees empanada tequ os venezuelan style miss soooo much
neutral,hang weekend
sad,forgot wish sister happi birthday yesterday
sad,pessimist see difficulti everi opportun optimist see opportun everi difficulti sir winston churchil
neutral,way work late usual
neutral,yah lo cuma gini gini aja mad heheheh updat aja terus statusmuuu
happy,ok peep good morn go bed hit later
sad,also realli miss sami thought would throw one
happy,close end revis take stori love new direct exhilar endlessposs amwrit
sad,miss vlogcandi
neutral,long hun head hurt
neutral,make fun call guy
sad,alway insensit whenev griev idgi
neutral,well stalkersaturday
happy,god earli hayley still asleep today parti day get stuff readi x
sad,philadelphia philli brett myer indefinit injur hip via nooooo
sad,elliot friedman pleas stop talk clueless seen ball sinc kickoff mope
happy,sail around world babi
neutral,see result whyareyoustillher
neutral,pleas let know found like know well although handi mobil
happy,pretti perfect eh yes cannabi saw sign global marijuana march
neutral,think ever tri peanut butter toast
sad,even gift money away day
sad,alright realli wish guy could done show tennesse go one show
neutral,rain hard
neutral,ha would point ironi last spell mistak swear
angry,oh god want blow tooth hurt
neutral,play wii
neutral,happi mother day
happy,yep yep plan noth bliss
sad,think fulli sunk val gone yet
sad,hey sorri got tweet puppi someon alreadi got
neutral,felt nice stay outsid long definit get burn hurrican season though
sad,peopl seem get pretti quick guy seem care
neutral,poltergeist hous
sad,god deliv righteous place salvat evil shall touch shall griev
neutral,eat lunch cant wait till 6 work gotta work tomorrow
happy,kyneton breakfast morn slow live noic beauti sunni autumn day drove back melb via daylesford
sad,know watch holli break heart
neutral,money good time
angry,resent rlli shit
sad,put right scrambl egg breakfast fartingloud
happy,hit fair empti shop orlando downtown disney later
angry,ya girl bitter
happy,happi bank holiday
happy,follow dad wont much fabulous2say make feel love
happy,well cooool lovv ro co shoooow
happy,social fun swam water boxer
happy,free hug super fluffi robe
neutral,si seguiss al stormtroop jabba hut death star te n hauri enterat aban que jo
neutral,get music start play click home
angry,u guy soo unfair smh
angry,went galveston want go back
neutral,mind go gutter
happy,monday go extrem well expect
happy,hope everyon amaz bank holiday monday work
neutral,
happy,that actual fun would think hurt week similar experi
neutral,got ipod touch download app
neutral,btw realiz profil pic make look much older say
happy,awww heard sweetest guy fan
sad,hot sat offic wanna sun shineeee
neutral,thank share anyth coffe good big fan live w
neutral,work outsid
angry,sick ridicul
angry,infam arriv today
angry,love peopl make plan without actual includ process rage
happy,seem like work rofl sad money grow tree
happy,enjoy bank holiday meet real estat agent offer amsterdam apart rent
happy,fun chel nicol cri watch benjamin button excit night must say
happy,thank appreci know unsubscrib list grow tomorrow lol
happy,insomnia finest go bed 11 30 fulli awak 2 grrr anyon want call mee
neutral,gonna new transform come colombia
happy,love background fave pic beach thank follow
sad,give blood within year get tattoo give im gut
happy,sorri never got back go vega weekend ask forev ago fun good luck
sad,theyr sappin mah sentri errr yea without power home right
happy,dad post got postpon one hour meant leav either go afganistan nowher sorta happi gut
angry,suck
happy,tofurki owe new keyboard
neutral,wed night
happy,nice elis roll thas wassup fun ladi
neutral,back ny ahead rain
neutral,want see 2001 maniac come post
angry,angri wanna cri
neutral,wanna wif boyfrannnnn
sad,bowl new food processor broke sad
happy,everi time hear organ kick new break goofiest smile
sad,jelz want hous
happy,morn everybodi
neutral,hm us guess
neutral,star trek imax kojikun seastar brian georg
neutral,gotta sleeep tire good night tweep
sad,love birdi nest though alreadi got us anoth kind
happy,know love nichola braun think make okay cameron wanna see either
happy,good stuff great thank x
neutral,awww cuuut mine follow shower pee wherev go refus lay still bed
sad,bummer miss taylor swift today show plan day
happy,like crazi witti humor
neutral,almost dere realli tire eye r realli dri
neutral,download bonni clyde beyonc jay z old fav
sad,btw
neutral,dont want though wish slept heather woke got work later first read twilight
happy,oh yeah happi mother day everi mom friend mom
happy,ya talkin know know ya talkin bout new shit chuckin deuc kany
happy,rooobbbbbiiieeee
neutral,spend night lightner crib
sad,drove mazda rx8 today boy car fun sad though find car much fun
neutral,lol trial part florida trial come screech halt summer fun weekend
neutral,denial power
angry,use temporari mous sinc trackbal break feel rsi crawl wrist alreadi
happy,good time flap taco
sad,im good yet parent still buy cloth stuff need dont get pocket money anymor
neutral,copi chick repli wrote
neutral,instal youtub download anyon know make trailer video
happy,happi mommi dad mommi watch footbal yay eagl winninggggg better keep sigh
happy,last year right around time black parad dead came awesom time man
neutral,look hotel web site place massag that job lol lol
neutral,go garden weed mulch cut anyth els find
neutral,oi fe aprendi usar twitter eu acho bjus
neutral,came back cat
angry,colleg work suck much
happy,think like
happy,enjoy ride
neutral,better back soon dude typic bedtim look talk late
neutral,grrrr got wrong size coat sheep
happy,listen mendelssohn italian symphoni love
sad,bad vo got sick think even med feel like
neutral,impress almost alway rain bank holiday stil free day colleg
happy,im home videok funtim yey got load ticket nyahahaha
happy,knight onlin come back
neutral,watch 48 hour
neutral,drive err speed
happy,alway good day make good time make better w ur morn greet thank
neutral,yeah get june 4th blahhh yet anoth reason south better
neutral,santa clara long way hoe well far sure seem like
happy,wait hear new album sure amaz pleas replay love much
neutral,thank need pass test first
happy,weeooow feel fat rememb use weigh much pfffffffffffffffffffffftttttttt long time ago hahaha
neutral,doubt tho twit pic sumthin
neutral,6 5 star review canada least talk like canadian incid
sad,depress week full rain ever lol
neutral,pfft cydia app ftw code phone make reload springboard
angry,realli hope writer decid give us return mcdanno love w resent animos finger cross
neutral,u dont even need go option button right top right corner
sad,feel almost empti insid today good feel
happy,look forward work next 8 day come next sunday may may dead
neutral,pleasur
sad,gave brother hug good bye took load furnitur away hous took mattress like
neutral,lucki bitch haha colddd rain would give anyth hot rain right
neutral,need help shower u
happy,yeah right mom cook like straight island make sure invit fam restaur
sad,wtf littl 9 year old wanna thug ugh everyon friend cliqu like back old day
neutral,nako umuulan pa naman anyway enjoy bike ride
angry,hate go dr wast 1 hour half say back pain probli depress stress duhh need fix
sad,made dentist appoint 9th june feel sick nervous alreadi howev ibprofen paracetemol codein friend sigh
neutral,write fanfic
sad,wish didnt go work tonight
sad,pff life suck sometim
happy,breezi luvvvv
happy,last day holyday gotta get back work anyway 2 great week
happy,check thank good luck book bella
happy,best thing ever done carri birth child
sad,close enter pogu book today world accord twitter yet seem far
angry,much outrag h use femal bodi sell someth anger
neutral,count crow tabl mountain casino event center near fresno juli 19
neutral,freestyl exam x
happy,watch cav game lebron jame newest love 36 pts cav 17 lebron
happy,yay least get see next year sad
angry,meanwhil get 7 40am train hope realli realli enjoy hotel shennan fume
sad,whenev feel sad listen monsta x hug teddi bear alway feel better
neutral,talkin da phone typin da time
happy,ah comedi central frasier morn till twelv guess goe morn
angry,turn frown upsid buddi
happy,teddi bear might get cute
happy,first trip home sinc diwali coupl day saddi dilli
happy,wzzzzzzzzzup derrek r start band practic jayk skylar leav california today lucki
happy,dear daniel good news nintendo want potenti lotchecktest hoffentlich wird mit der stell
happy,possibl r endless becca u unplug matrix stay salti happi surf sunset aloha joy
neutral,right feel
neutral,blue lol
sad,mean fam minus ahug
neutral,done wash cloth tire
neutral,organis day indulg luxuri pamper day finger cross like surpris
sad,found first episod bojack incred funni got less funni stay drama
happy,saturday partytiiim
neutral,good morn how u
neutral,finish watch star trek imax could watch night live long prosper
happy,oh chase love make laugh btw sure drop head babi
happy,ha j perfect time messag cure came
neutral,ala occur offic central london
neutral,watch alia begin approxim 117th time
happy,gotcha place atlant side better surf plus like close crazi foreign restaur mmm fl
neutral,back pub want peroni
happy,good morn hun promis glad like em love day
happy,ok 4 star trek fan given new movi good review get excit
happy,plus happi mother day sweeti
angry,michell one worst player bb histori bb18 bbfinal
neutral,drive back home forgot piec cake
happy,awesom huh lol
happy,hey pleas repli call im mexico know code love
neutral,play machin actinggg
sad,got work today three day left heart break
neutral,wolfram got chines room problem chines bangalorean hacker run without know english
sad,repli none fan know trust
happy,love taker yet
sad,4am foodshop caus sick day hospit alon blow
happy,special edit jfpl came today time rip demo cd itun upload ipod go work
happy,hug sure
neutral,turn report done
neutral,need nap take 4 train
neutral,make happi hear girl talk tweet nba could give nugget love
sad,ohtay make sens cool
happy,must miss 9 40 sure make
happy,wish ro feel better
neutral,got follow like 2 someon follow pleas
angry,hate comput screw decid play sound video
happy,wish dog
neutral,go hannah movi 6 30
sad,alreadi miss mohawk
neutral,caus there parti
sad,coffe got cold blah
sad,ok that 2 week abl sign time move find anoth app strong discourag nikerun
happy,cure le hangov epic night bruis n batter hectic go kart session pretti satisfi thank much
happy,weather breezi man life alway easi
happy,travel blog run wait start fill entri
sad,raini monday better day work home thank
neutral,delet lott facebook friend ask friend want idgaf
happy,hes definit fav host ever wait watch rest tomorrow
happy,right strap readi go
happy,tire dinner good churro good
neutral,hang
happy,random night fun im chillin home happi mother day
happy,honeymoon good life
neutral,blah work job one day job two night
neutral,tell grandmoth say hello
happy,gooodmorn peopl earth
happy,thimk work muscl love much
happy,back work beauti sunni day
angry,stuck infuri scrum hegemonist scrum scrum stuck
angry,suck
sad,work extra hour
happy,much fun banana dessert alon worth trip austin back soon
neutral,hey u u got repli
happy,nice luv kelli amaz singer luv
happy,got coach purs
neutral,follow creat littl flock paddl twitter
neutral,go bed cannot sleep right
neutral,tamlyn wish cool sock draw
happy,eve izzi paig cheer sing song togeth
angry,ooh your comput make playlist come onlin pls im bore ive block everyon
happy,tend loosen bit drunk seem pretti cheer
neutral,hey socialmediatv new record show viewabl later thank social media tv live
happy,wait black eye pea go got backstag pass thank thank hun
neutral,know gotta wait earl 2010 think late 2009 wrong
neutral,work work work
happy,hahaha tea grandma sweat yep
neutral,poor buddi teas mini puggi think need pughug
happy,gif ios10 messag app hilari
neutral,way earli saturday though near weekend
angry,prudenc suggest 8 bump 2 3 week view skeptic media hrc axi
neutral,updat 100
happy,lolol think funni 190 peopl think lie real john barrowman
angry,go back bliss ignor
sad,usual one rush colder weather year readi hot coffe dark lippi scarv sweater boot
neutral,time
happy,tell truth make someon cri better tell lie make someon smile truth lie cri offalonehugot
happy,coffe sociolog paper complet happi mother day
neutral,wanna roc wit chu imi buu
happy,aww thank babe plan tomorrow
sad,oh noooo suck reschedul anoth show
happy,want tell guy amaz thank twilight wait new moon come melissa
neutral,back soon
happy,head home see yall tweet
neutral,find stuff amus
neutral,guess easier said done peopl one unfortun
happy,well goodnight twitter bug sleep well
neutral,quit
happy,watch f1 live near montmel excit race
neutral,j estou ver que sim aqui
happy,thank follow ad twitter page comment blog
neutral,ever sleep
neutral,look like hide money offshor bank account behalf last fm
sad,need advic get rut needmotiv
angry,got sore feet
neutral,what though sound bit boiler
happy,feelin nice bottl bacardi
happy,set get room last saturday apologis enough miss decci
happy,dougi coffe coffe hahaha name come predict text pretti awesom
angry,hate horribl atmospher pick quick kisskiss xxxxxxxxxx
angry,intens play extraordinari relentless aflcatsswan aflfin
happy,incred anthoni weiner caught chase busti milkmaid across park doubl speed jaunti music play
neutral,oh almost forgot take lip ring water polo season
happy,way home love long car ride 3
happy,chill n babez
neutral,turn back time make hurt knee bad come mine never ignor
happy,exchang stori gone yaaaay sweet chariti
happy,briliant may fourth starwarsday starwar
sad,pe pocket artoo
happy,hey yall amaz bamboozl thank stop take apictur saturday seem like rush though
happy,yay good com final needa step next semest forsur tho distract
sad,know whether despair agit cull
neutral,hasta ana twitter
happy,get new laptop 10 day excit dell inspiron core2duo 2 0ghz 4gb ddr2 250gb hdd 15 6 inch screen
sad,realli realli miss
happy,age heyday blood tame shakespeareaninsult hamlet elizabethan williamshakespear
happy,ninaturn mine happen countri need moment leviti bernblad lisavikingstad
happy,live band first perform pretti damn fun
happy,bless ya know feel well
neutral,tri find someon go mall
happy,yummi yummi ice creammm hate heel whoever made pair
neutral,gather still asleep
happy,watch driven food go devon ave eat nihari make gleeful af
neutral,drove work vespa pour rain rain overal keep dri
sad,bad get bad news afternoon got stop polic brake light 30 fine
neutral,man gotta whip gotta whip
happy,thank much definit pass along amaz mother
neutral,bring till fall asleep
happy,lol usual alway bn well tho old r ur kid
sad,work miser day
happy,yaay congrat shmolan graduat proud fun 3
happy,sissi went bridal shower tonight crazi women
happy,move today excit
neutral,learn two head boy nutreal milk hotel
happy,peopl england watch one thankyou
happy,haha want anoth bagel blueberri cream chees left bagel
neutral,whew vacuum good time vacuum
happy,nice stay long got hotel room
happy,watch tv best peopl whole world mum sis agus love twitter later ha
happy,got standard alic otherwis would got enjoy life life
angry,judg tuck tonight mogwai repeat
neutral,go see hannah montana movi lol dork huh
neutral,join club
happy,goodnight twitterland hope weekend go great
neutral,umm ok sound verri proud yourselff bubb
happy,got home morongo havin corona 100 buck woo lol wish woulda 100 000 instead
happy,build radio studio go podcast foundat call insight foundat
happy,love ladi progress commerci funni
neutral,think wear bermuda cinema good idea outsid humid like cwazi
happy,actual love nesquik cereal
happy,soooo funni thank today btw lebron harass
happy,beat punch stickam
happy,least two three time week turn tv find comedi central alreadi endur brief moment scrub
neutral,laker tomorrow kb df ftw
sad,5 season sorri notic ur previous updat sis gonna happi
sad,ben jerri fail got email free ice cream say click redeem coupon click get error messag
neutral,tire
angry,babi born soon lifechang 6 year feel like yesterday sad happi angri emotionalrollercoast
happy,love much better want call
sad,ugh know u even care nicol richi c miss tv last nite despit twitter
neutral,quiet mother day even happi mother day yummi mummi
angry,jetway feel like seventh layer hell oh way mani babi flight forgot bose
sad,holli steel bgt absolut excruci watch poor girl
happy,ha appar talk posh accent accord ppl saw shire last dress femin make chuckl
angry,an lion kick dog ass
sad,tweet make night bb girl
happy,happi mother day take ur mother special place
sad,n u chang profil backgroud neither
sad,mani good show come money buy ticket fmfl brand new troub
angry,sorri guy absolut idea time cam tomorrow keep post
happy,blast babe thank joe 3 love everyon tyler happi birthday
neutral,rock shania twain marathon
happy,guy match cute ps visit la
happy,happi mother day mom
happy,readi summer
happy,like feel
neutral,school today happi may day
angry,smoke suck suck fuck suck want cig
happy,got phone lainey love life im taken crap
happy,think tour england dont got see aweoms peopl
neutral,u vers blaze 25mbps anyth download though
neutral,earli wash wax car sure neighbour think mad wash near everi week
happy,discern request hulu support excel idea
neutral,need girl night wear sweat watch movi eat chocol talk boy
happy,buongiorno woke italian lunch
happy,thank rememb
neutral,hello new macci welcom new home
sad,aww hey know lol sick outti
happy,kind
happy,glad happi
neutral,sin sol grrrrrrr whyyi
sad,first time go home earli suck b singl one call
happy,pretti pictur
neutral,pretti janett exact hey monday band arm
neutral,put anyth
neutral,miss paul ice cream man work
happy,love everryth breadtalk would eat whole place could
sad,thx old comput slow kubuntu blender realli
sad,noth like wake slow morn doc appt today
happy,fun time allegra tonit saw 17again good movi
neutral,need camera blower camera censor dirteeh
neutral,sejaaaaa beeeem vindo meu anjo
neutral,u gotta say
angry,momma irrit ask question like gone
neutral,chang plan stay brandon papaya salad
happy,mommi gummi mother day posterrr
happy,well minus relat greg lol kid
neutral,weather tooo hottt mayn cnt take n styl aint got ride flu n want babi bk
sad,im kind confus one thing right great futur hand new thing lost needhelp
happy,met lol middl name creepi fgs
angry,mani tribe r becom extinct blame mc donald
neutral,one rub
neutral,help find mise pugsli
angry,yeah dude appreci support notori abc peep grate relentless
sad,still sunk im see joe next month im grate excit shit
happy,someon take la need see lemon tree
neutral,yes
sad,way mani peopl cri school picnic decid want go back go public confus sad
sad,lol day gloomi peopl cancel stay bed
happy,happiest birthday kat
happy,love new tv
happy,oh jordan readi next contest babi wait kiss brazil love
happy,hey cant wait 4 u guy 2 come 2 jersey woop hope ur lookin 4ward 2 coz r x
neutral,got look job weekend
neutral,awww dang cant wait see pictur lime green element wooot
happy,tomorrow mother day n sis gonna make onigiri mom gonna kewl cant wait tomorrow
happy,anyon rememb movi anim late 70 call shame jungl john bulushi wild tast
neutral,earli morn r b
sad,back hurt heat pad stupid ladder collaps make fall back bum
sad,want sleep friend denmark poke im
happy,watch fav movi two play game ever notic men start act around spring time shant smith
happy,cool thank respons check firefox
sad,funni
neutral,goodbey pressent
happy,look way let think rohan last week
neutral,fish chip din din
sad,might go tomorrow hope win new car current one stink gone milk grim
happy,everi day need choos hope fear divers divis justin miss optim chang sunni love
sad,raini day today car stuck hous need go post offic bastard
angry,start x slimmer eight morn still go hate alway want friggin password
neutral,break tire
happy,shock feel sick happi
happy,yeah basic awesom
happy,pj day best day
neutral,smell waft thru grandpar hous papaw smoker go back got long wait tho
sad,like idea go cinema monday
happy,nice skillz nick x love alway marjori jemimah sydney australia
neutral,ugli girl alway insist make ugli face ugh
happy,happi mother day mom
angry,hate answer need tomourssuck prayinsnotcanc angri
sad,morn alex hope tweet lot today miss xx
sad,serious kill bath shower cubicl miss bubbl bath
sad,nah actual sleep data recoveri place call woke
happy,see may 16
neutral,saw blink show tmobil parti speachless
sad,hartramsey suplift still discourag mean listen wrong voic look wrong sourc look lord
neutral,sneak go work friend
happy,look new idea blog
happy,dump worri stress fire fun profound free
sad,late last night oracl 8 4 30
sad,hey hunni bunni weekend like day someth
sad,crisi forgot fring comb men one help
happy,hey mind
happy,photo martwo omg love accadent delet photo yay hes beauti
happy,gonna knit felt heart toy mum mother day great realli love anyth give luv ya mummi
happy,happi mother day mother also
happy,later today sinc plan today
neutral,doctor finish
happy,mum lost grangemouth utter hilar total lost
angry,last night cork come tomorrow wont even rememb doubl sad face haha word lili allen fair
happy,awww poor know us bless
neutral,hey ian may 7 din ako mayb see cuz diff school tayo hahaha la lang p
neutral,one ever wear tshirt lucki
happy,thanx tom love u great day
neutral,honey got mad yrs go crazi
happy,come atl show jljf swear fun much fun
angry,screw guy prom pictur
happy,go bed talk ya later goodnight birdi lol
happy,effici great smile servic store impress team genius readi redefin custom servic
neutral,one hott coupl eventho yrs ago still r
sad,blond keep fail driver licens test everytim stop jump back seat
neutral,good girl whitney
sad,made sad thought jump joy
happy,may 4th hahahaha neverrr get old
sad,sometim peopl leav halfway wood let griev one leav good youarenotalon nooneisalon
happy,thank
sad,look daughter babi pictur make heart hurt
neutral,acaaaaaabou
angry,golden ocean day lush gag sick wast 20 fume miss
sad,yea yea im tortur stanki leg marathon ima danc hrs til mo
angry,rare offic shoot without regard want conscienc incit
sad,wat u mean kill yes im sure ladi gaga awsom
neutral,actual use standard speaker wire standard termin solder involv anyth
happy,watch groov movi hubbi
neutral,1 800 one friend deserv free hug
neutral,lol that kind im eat
happy,know nj worst purpos
happy,least larg vocabulari benefit writer hope well sister
happy,hey want confirm still meet rivoli 6pm stay hour bit adloung
sad,hr say ca take tax check
happy,wooo luck done
sad,sad dad die hakuna matana mean worri
happy,happi mother day
sad,gonna say probabl kill ya serv sentenc live insur cash insur right lol
happy,feel home back church
neutral,meant look like tiger stupid predict text
happy,f breezi
happy,go suffolk tomorrow howev mb plan picnic mall friend neil jodi
neutral,oh dear
sad,luvvv one aquest full moon crazi tour date toronto
happy,free free free peski registr enjoy
neutral,geocach com seem huge delay deliv pocket queri
neutral,tuna noodl thing smash potato cake winksi say hi
happy,yeah school suck total yea grate got better place man cant tell excit hul
neutral,plane ticket uk everywher europ beyond cheap june oct gig near futur announc yet
happy,beat aye music hall babyy im like cinnamon beat appl appl jack
happy,morn hope super day enjoy
neutral,aha mean take look look cool could get pool
happy,oh look tradit chines charm love miss shutter door
neutral,nintendo caus news come
happy,yeahhhhhhhhhhhhh friday work tomorrow
sad,day know heart beat depress
happy,watch amaz live ly broadcast mila live music
sad,good day hous
neutral,somewher center
neutral,dude look amount worshipp
neutral,moni love u get da credit shit twitter w u cus kno 2 shit thank boo
neutral,3 teardrop
happy,averag 31 per hour work today gotta love holiday
neutral,think way promot indi design benefit moi thought indi say
neutral,case got new one last week thrill mine
happy,thank
neutral,thank elanc cours mine
neutral,make plan none
happy,ha that good that love boy cos never stir hatr mighti red scum everyon love citi
neutral,sight made afternoon
happy,merriment laughter instruct powerpoint present well done concern thank
neutral,perez youtub video work
happy,farm best ride ass get
happy,boopboopboop still talk ashley brittani talk ashley forev convo still goe place awesom
neutral,sorri bout cat
sad,epic fail chocol fountain got clog
neutral,welcom dk jaoo
happy,well done visteon belfast 2 year salari paid show happen stand
sad,get wors everi year 2010 2011 worst oh 6 month today
neutral,go watch
angry,fucksak smoke much stuff
angry,hate new mt dew commerci one giant mosquito scare gross time
sad,2 hoe none
neutral,gay lol riot definit nkotb concert want 2b smitten girl distract night
happy,hey miss jane goe film hope good famili
sad,mcfli anit age z
sad,great show doug fun im sorri wont watch
sad,rest peac adam 12 glenn epp gone never forgotten week loud da air 4 ya
happy,nice time plenti dream
neutral,goin work
happy,luv da movi say anyth
sad,sure want know make want run news happi star war day
neutral,addict biz could defin better folk slow get done
happy,email kid wait fill form serious
happy,twd come soon happi
happy,take kind weak act silli keep 100 fort breezi chrisbrown teambreezi
happy,happi happi joy joy good enough
sad,sorri get project work windoz laptop ton folk came afterward saw run
angry,hate guy cant control anger
neutral,chill casa
happy,great day rode beach cruiser town see culver citi antiqu car show found next bike
sad,go miss roomi longer roomi start tomorrow
neutral,leiiin play introoo
sad,home lost basebal game 1 friggin point gonna scrap
neutral,think wanna grab lil wind turbin hehe ill mini power plant end rofl
happy,butler watch dr farmer rock w hispan jimmi hendrix drink cosmos
neutral,pleasur hear kelli new project followfriday
neutral,happi mother day mummmyyysss
happy,parti long hard goodnight twitter see ya mornin
happy,play j ray ride way delish sushi
neutral,ahh naa dont like rain nm realli friend comin goin 2 gran
sad,actual realli most forget take makeup bed
happy,know right super excit told busiest time year
neutral,well custom alway right least tell
happy,sick right thank chicken soup bed
happy,edinburgh chines yum better take wee haggi hes cryin dunno tho xox
sad,good place grab quick healthi lunch downtown golden look like may safeway
angry,ive picki put mouth hate onion make cri
happy,set new comput 15min love norton ghost
neutral,damn dude dia 06 20 e 27 eu tenho curso na drc flash expert
happy,thank quick
happy,happi mother day mother especi mine enjoy ya day mother
happy,thx webdu conf thur
happy,chillin home day yippe wish keep compani
happy,love find region group twitter glad could connect new peopl
happy,dave thank play happi birthday nkotb today bday lone bday today
angry,welcom ji sorri word irrit u
happy,like drew said give tc chanc miss thoma move watch
happy,imagin stupid tri chirp racist prick
angry,gameday vs buford today 5 30 home never excit reveng
neutral,act like 8 therefor 8
happy,hug 4 kathi though mom heaven know smile accomplish peopl keep posit
happy,steel magnolia get everi time sniff lol v b make day night brighter
happy,well retir drummer drum roll need read post sinc take ton time lol
sad,hey haha yep negat comment get reallllyyi mad alway defend haha
sad,hate rob zombi movi smell weed vommmm
