sentiment,content
happy,awwww got love foe yup yup got love mr sween day everyday
sad,wale past quad want outsid fun
happy,hell yeah
neutral,morn school ickkk
sad,brag kitten cute cat never came home wanna throw
neutral,wish home bed nake
happy,sooo jealous good way cours lc awesom
happy,help ex student uni assign via skype gotta love connect world sudi game design even better
angry,link ff work broke
happy,happi mother day mommi love much dono id without
neutral,keep tri take text week long
neutral,poltergeist hous
happy,yep hope
sad,yeah alreadi call ask
happy,got call chimp buddi want join parti load prepar wow great cup tea first think erm
happy,beat heat tea tri masala chaa
sad,afraid tour peopl refus believ anyth els irish way
neutral,alreadi
sad,thought cav would crush magic come home north realiz wrong
sad,bring connector camera trip save new photo wait anoth week
angry,sooooooo happi wattch disney channel rubbish rubbish rubbishhhhhh didnt get jona 3d poster dude wasnt im
happy,morn sunshin
happy,oper confer call great peep team make monday bit easier handl
happy,two new favorit prayer help help help thank thank thank
happy,good hang dad 2day look job still
neutral,good night
happy,wed amaz gonna lie wait see pic either
neutral,yup ace film tho
happy,want welcom back plurk
sad,har vondt ryggen back hurt
sad,upset becasu like 6 year love happen imm realli uset x
neutral,thank follow
neutral,im bloggin right later
happy,look feedback often serious crazier topic better
neutral,ohh right turn curv right angl like better curvey thank let know though
sad,believ er
neutral,charact design complet week give anoth sneak peak stay post
neutral,mexican wrestler year cape probabl build though
angry,spend offic
happy,hahaha im listen shes ladi haha ili ftsk xx
angry,point scorn furi labor noth address long term detent need resettl asylumseek manus nauru
neutral,week end time get back work
neutral,hello
happy,yaaawwwnnn head gym work happi monday
sad,spi princess ann today listent friend cook perfect even work suck ob
happy,\o high five fan final write fanci news post short want get mod asap
neutral,wife teacher spend lot time indoor tri take stress admin may write often
neutral,cook brown rice
happy,happi birthday
sad,rachael make want cri
neutral,good morn buddi
happy,saw star trek yesterday wolverin today love jackman ab ass spock ear
happy,pic upload babi pic cat missi adult pretti littl kitti batti kitten heaven
happy,good join dark side hahahaha cooki
neutral,found decent price breakfast yet hope
neutral,want say hello
happy,sun shine bright day begun store wander around les calanqu mayb vin definit
happy,1st place competit superior
happy,love pleas leav pink
happy,thank much definit pass along amaz mother
sad,lol birmingham 1st love time move good morn
sad,depress ty much
sad,wish call malta
neutral,21month daughter seper anxieti intens kill cant leav sight without break anxieti attack
happy,happi mom day
sad,relaps mom dad need jesus fuck christ stay away
happy,haha photo funni hope disturb passeng much flight
happy,learn play sweet child mine guitar yay
angry,bugger know shame peopl stick nose
happy,happi mother day well good one
angry,omg lg kc910 touchscreen fone pile shite roll new contract 18 month
sad,got earli pay bill figur like bandaid get quick bad wrong
happy,yes realli time day xxxxxxxxxxxxxxxxx
neutral,audioo
angry,one day tiff one day
sad,flu swinish one flu
neutral,vote stop vote
angry,imposs say hope unwit trigger feroci side hell hath furi
happy,next wk c drs mayb would love go mac grill john thought u
happy,stomach tri eat time lunch yet look clock damn anoth hour 20 til lunch
happy,great local stop ask direct even better know answer
sad,aww onward upward yay still sad leav bet
angry,happi birthday seed renewtherivalri imyourdaddi cantbeatm tater
neutral,good morn
sad,tire work king bounti add vampyr stori even x men comix complet donload
neutral,hi rubi u said u paint yesterday think lose track time paint know concept subject
neutral,cant im sister hous net tonit
happy,possess beyond certainti made rite decis
happy,haha know cant handl fame thank
neutral,8th grade yearbook narnia movi releas blurb pic aslan skandar
neutral,wife get guest list tomorrow show exist lame guess wife show
sad,call mitch im sweden
happy,news like band lydia easi go melancholi yet cheeri song good listen
happy,miss chat
sad,offici worst day call mile away
neutral,post blogspot
happy,omg 2 haha half hour late 4 work whoop hahaha h8 workin sat mornin
neutral,yeah still waitin
happy,know crazi love use seen yt recent partner xx
neutral,love like war easi begin hard end fiuuhh
sad,noth lol
sad,work 930a 730p today 1 5 hour lunch 8 5 hour work overtim good fact alreadi dead tire bad
happy,meet rosi donnel still fun night
sad,bore miss everybodi alreadi
happy,proud son found offer uncondit place music colleg
neutral,bought four tie
sad,sorri hard find imeem free stuff rb like david starfir like
angry,look teef
happy,fantast day az sun
happy,ff vega buddi laker lover uuugh love even though way n chicago
angry,fuuuuu helllla sleepi lunch work 4 10 gota wait till 6 eat
neutral,anyon recommend jp artist music similar soichi negishi amai koibito
happy,much happier despit loom departur
happy,good morn thank tweet great day
happy,ya honey happend account
happy,yeaaa
happy,uce pgce went leicest main degre though
angry,could got work paid r20 per 2l
happy,one day left school 16th approach
neutral,chillin
neutral,
happy,went short flight around geelong waterfront surpris well handl still exhaust last week meetup
happy,thank darl girl xx
sad,sorri bout migrain mention realli like cissburi sp pic last week
happy,alway 2 xtra clean b4 leav da road 2 springhil suit cafe 360 yum
sad,traci berwick break achi breaki heart split way hallway
sad,hey mr danger
neutral,monday school gosshhh wait
happy,know
neutral,ew agre
neutral,belli speak need food
happy,awesom wanna roll becom mogul status
happy,yeeeee haha funniest thing dude cant ball bring hot gfs along watch get murk
neutral,chees chip
happy,back work beauti sunni day
neutral,watch cartoon clone war total forc shannon let see live one yet tho
neutral,
sad,spent last hour sign yearbook miss guy
happy,kristen miss
happy,aaaw bad good mood phone someon lol
sad,go fold laundri hit sack bore saturday even
neutral,one mine potenti winner think could quit easi code might sit
neutral,enough studi whew time sleep
happy,yet understand sentenc u ever type kinda fun like learn foreign languag love quot u
happy,one gear babi
happy,happi mother day babi mommasss rofl
neutral,wish u could rub head
happy,realli alway dirti ha ha sex addict
happy,omg cur hair cute
neutral,total forgot dgree show et al ensconc home wine readi bed
happy,love mom
sad,comput alllllllllllllllll day
neutral,exam stress
neutral,indo dormir good night
neutral,paus button game life
happy,thank much fantast day
happy,follow guy could shifti worth follow regardless
happy,paper write til heart content
happy,oh mm gee got aerola live tonit
neutral,meh tri one commerci drive cat
angry,inclin think stupid
neutral,indian cowboy actual consid go carniv
happy,hey thank anoth great day go sleep chat tomorrow sweet dream
neutral,yeah
happy,download iemoticon appstor 0 79 cool
neutral,happi mother day love mom
neutral,guus last game 2moz
happy,butler watch dr farmer rock w hispan jimmi hendrix drink cosmos
happy,love wanda syke perform white hous correspond associ dinner
neutral,hate differ referenc assembl fnh goe castl 1 1 caliburn 1 03 mention dynamicproxi nh
angry,fret mani opportun life worri one work
happy,happi mother day
happy,good episod top gear tonight
neutral,cottin emilyyyyyyyy
neutral,go anti social
sad,cross bridg leav ocean citi sad
happy,finish line team alpha allstar great day good win compani team
angry,u guy determin team caus 80 shitti team play fuckin cod
happy,got freakin macbook hoorayyy freakin delet phootbooth
sad,spend weekend work even sound fun
happy,silli
neutral,seen kiosk central station nice job
happy,fantast weekend hairdress stylish luncheon fabul girli night wine chees chocol danc till morn
angry,took 3 reread see didnt say eat girl instead actual grit disappoint
angry,ack read show horribl account tast
happy,give best
neutral,360 close get
happy,eat tito home made ice cream yum
neutral,lol that kind im eat
happy,good even terri miss late hope life good wonder even
happy,specif question let know alway good write stuff well fun
angry,love there outrag white man black man blm would regardless reason
happy,curri shrimp yesterday lol love seafood
angry,follow snapchat carlabtst15 snapchat snap
sad,porter make sad panda
happy,may 4th resist
sad,bad time everyon whywhywhi write essay fair
angry,ok well pic take that unlucki lmao
happy,tri make like success far haha
sad,miss babi togeth haha dread take kennel
neutral,skype kati allison yeah boy kati mom moon us
happy,thank
neutral,wtf tweet post super excit weekend 3jfg
happy,pancak lemon sugar thank
happy,know mom gave clean macbook white tint grayish blue black desk
angry,tear eye dri burn like wire lightbulb
sad,cute malay girl came seemi room rent sad think guyfreind bit mislead disappoint lol
happy,shud lol devic thing work
happy,wooow charg ipod touch day today still aliv coolio
happy,last one
happy,haha live long prosper movi better thought awesom job pleas
happy,ahh babi cute happi mother day
happy,got nasti argument someon normal like much forgiv well either
sad,wast live
happy,amaz alic made thank everyth face charact
happy,happi mother day mommi
happy,love 2 xxxx
neutral,want new hair frank talk
happy,agfest pretti awesom load peopl lol
neutral,g day thanx follow
angry,hear piss haha
neutral,hi agre small children run happi break tear
angry,annoy want go see sat concert know pay
neutral,okay one ear pop know everyth sound like everyth reall loud
neutral,three first 2 week june
happy,aww tessi wanna hug
sad,last day senior bye bff
happy,well got dvd get book
happy,love johnni carson go hate see jay leno go via wait someon say
sad,cool boob itch got sunburn volcano
happy,go watch dvd hubbi eagl eye twit u 2morrow cia
happy,ooh like plan spend night well
neutral,thank
happy,didnt realli watch haha
sad,got back home shit meet tmrw stay sea view even dont fresh undergar tire 13 hrs work day
sad,home feel like go work tomorrow
angry,look forward read post like bullshit write often learn thing
happy,keep suggest come love classic
neutral,looool chip ketchup ya waili 3alaiiik let fish finger sure bake bean though
neutral,sam may ask odd question might fave anim
happy,go home see night local time
neutral,awak nap
happy,flickr pic chester zoo danwtmoon post photo welcom chester zoo jockey
happy,pleas check lmk think first paysit post site
sad,sux mayb 4 btr u nvr know
sad,young love come end
neutral,yes yes
happy,goodnight twittervers
happy,wish 12hr nap let talk rachel get one lol
sad,lost dc hat
angry,brother protect one anoth one serious make furious misl think fred mayfield
sad,gone miss kay way alreadi
happy,read maltes sunday newspap coffe aaaah glorious sunday
happy,propellerhead harddriv long got music repo back shape felt nostalg
happy,lucki rob alway gettin t8 emalon
sad,first fight
happy,happi mother day twitter mom includ
happy,dooood work tea time later work tonight
happy,travel faster light might actual possibl space com yeah enterpris r comin
sad,burn tongu workkkkkkkkkkkkkkkkk
happy,oh horribl lol better singer even cri u think made cri haha
neutral,made littl cover iphon bird upsid back
happy,well sunday weather look great gone take bike visit mom day
angry,omg someon ask sit reluct move huff biiitttccchhhhhh
angry,ikr peopl still got grudg reason like wtf
neutral,big brother done
neutral,goodnight tweep
happy,late seen bubbl tweet video awww
happy,love bank holiday
happy,happi mother day
angry,heart left long again\n\n slight pout turn smile \n\nheheh kid fine
neutral,mayb u get coffe machin new desk seem appropri
neutral,crab boat mobil set go everi night remind head bed
neutral,haha hope need sleep lol phone get messag updat us
neutral,star trek nah dad one star trek right enough today see corlain much style shezz
sad,break news broiler burger king burger burger king lunch least chicken fri
angry,oh zombi rage
happy,boat way norr ra gonna chill parti tonight
angry,internet wtf think im gonna sleep afterward internet drive crazyyi
sad,sad sad sad thought aunti stina come look forward famili miss dat alon maui
neutral,geez 15 year think would check year ago
happy,morn twitti head colleg back doc god hungri strech ear today 10mm payday love
happy,lol weekend yea ur right text caus im goin 3rd dont comput bye bye
happy,wish wonder happi mother day
happy,live q 24 7 definit best part twitter
neutral,tri understand join twitter everyon els felt left
neutral,go start use fast access twitter com school
sad,evermor end fashion rock poor foot though oww injur foot good sore tomorrow detail follow later
sad,twitter lame post twitpic gucci
happy,final make headway famili room home final begin look like btw dial go die
happy,video final done wooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
sad,supris okay possibl still drunk goodby suck though
happy,yeh 2
neutral,took comput new dvd drive screen come back order new comput wait
sad,love new skype especi someon like live half world away home
happy,honor tweet ya
happy,holi smoke star trek freak awesomeeee
neutral,sure still got 2 hrs till home fridg beer beer beer lol
happy,leg still numb journey atlanti cold buttt awesom day
neutral,go get pedicur cpk lunch
sad,stupid freshmen ruin theatr class get play warm game rest school year
happy,preschool bowl hundr weigh 35 40 lbs today last day year
happy,great time kc
neutral,lay across bed hurt back day ago
sad,confus sad oh come sweet cheer
angry,war right outsid door rage usatoday
happy,enjoy sound idyl geordiebird lost bikini perfect holiday
angry,wallah blood boil need take nap ugh
neutral,sorri use tweetdeck let tweet today
happy,list park closur calavera big tree sp head weekend glad visit late
neutral,saw wolverin last night
neutral,night bud
angry,fulli grabbyhand bad candi thank 3
happy,final work sub copi pika nichi heeeee
neutral,thank concern check much appreci
neutral,problem
sad,seem like u r push wcm site realli cant beleiv pro havent heard joomla drupal
neutral,spent time guild war 4th birthday updat menageri welcom new featur ranger anyway
sad,mum tri make feel ebtter stop vote adn win shortstack almost cri
neutral,yep pic kid stand puffi taco photo
neutral,heather ann parri upto florenc nightingal histori could take
happy,nice hear love best friend sister hug u
happy,one fake follow haha wish would instead
neutral,think text read lol figur html
happy,that nice cousin left hous daughter daddi girl sweet
neutral,hmmm go sleep 6 saturday work watch 2 episod one tree hill one tree hill think
angry,shut put money mouth that get wake vega
happy,birthday happi birthday
happy,rain rain rain go away come back next week gone via rain lie crazi key
neutral,happi mother day
neutral,tweeten tix deal nkotb 5 28 43 38 seat price nkotb date
happy,ah ha cool look close get proper size screen thank
happy,cute twit potugues
sad,egg today shame look forward egg bacon sandwich
happy,morn wash machin alreadi go mum dad hous get hous readi wed day busi busi busi
neutral,ooo believ close even one airport
neutral,ill come shop like hour need get pedicur dont time today probabl next week tho
happy,kno guilti pleasur like shop
neutral,naww go mega scotter
angry,basket better bad mood someon irrit practic pleas
happy,okay day hang brianna saelina good
sad,fuck feel like cri bit reali want bother sooooooo much
sad,glad got clear lah idk linda hate though
sad,encourag got year stuff regret
neutral,waaa
sad,oh sorri friend kati best keep cheeri
sad,figur repli tumblr sorri get nyc 6 4 go event b4
happy,star trek hd impress beam spotti
happy,land pillow blanket mm fan high mention blanket favorit time ever
happy,say hello new zealand haha
neutral,1 hors town 2 blown car speaker
happy,thank follow friday
happy,pleasur murray
happy,happi mother day
happy,got may issu total girl love especi thing info differ countri emma watson
happy,that cool
happy,googledoc folder instead label like gmail kind like label
neutral,keep mind decid add la leg westt coast stint june
neutral,didnt get see tonight
neutral,yes talk
angry,irrit inch thick made mask
happy,happi mothersday
neutral,road trip ftw play train today good
happy,thank andrew yet publish look forward
neutral,idea whether drink anymor
sad,maaaaan last night funni night sad aswel tho
sad,ice cream crazi mocha ss mean espresso milkshak
happy,get readi dayyyyyyyyyyyi hope work goe good
sad,fjdskal im realli frustrat
neutral,yeah meant
sad,yip aw gonna miss bb
happy,lisa roger carpool alltim fave good work
sad,lock hous shit thank god internet
neutral,unfollow peopl follow follow new peopl
angry,resent
neutral,aww poor precious
sad,undeni truth suck talk peopl good make connect come either strang distant
happy,lmfao omgosh first heard song felt like gonna pee omgosh waltzer man lol xoxo
neutral,omg learn littl girl play ducki first land time movi murder age 10 wtf
angry,hey long time tweet im root paul win bc one play bb jame 2nd bc doesnt irrit bb18
neutral,take local art
angry,use get earli asf shit goin irrit
angry,u fuck hous alway hold grudg
sad,like sick guidanc counsellor suppos take 35 kid school bowl pizza
happy,realli happi u n leigh thnx share happi us mean world us love ya marta
sad,want go enjoy weather tire stuck bed
happy,right action grab shower grab camera think walk sunshin along canal later good tweepl
neutral,welcom
neutral,pair fring tuesday smell like win imo well
happy,tape cox pick starbuck offic bc nice
neutral,hi beauti go
happy,awesom talk find true watch rubi communiti close
happy,play old school playground still except lame ass got rid tire swing
happy,take dog walk weather perfect rite suck becuz come hahaha
happy,anyon want realli awesom buy one birthday
sad,forgot wish sister happi birthday yesterday
neutral,hate forget actual turn dryer
neutral,hit hay came goodnight world inhabit
neutral,hmm tough choic got match
neutral,said darl happen fall asleep carri home cuz know goodnight twittererer
happy,haha thanx twitter lot public ybc presum
angry,lol littl thing like make angri x
happy,umm def fun houston day togeth hope turn houston night hehe
happy,receiv mother day card love daughter wish happi mother day
happy,boagsi actual still small lol 4 year old
neutral,well fun even
angry,idea wtf im
sad,boyfriend even say bye
angry,could never angri drunk lol yall weirdo enjoy time
neutral,tokyo tabl
angry,ughhh love clean hous incens lit aromatherapi
happy,see later love ladi good love million xxx
sad,feel realli weird
happy,problem glad
angry,automat l ima keep tri fam relentless thewengerway
happy,today best 3 eff yeah 3
sad,want go home senior
neutral,got twit link fail
neutral,tire readi bed realli mood salt pepper chicken wing noodl money chines
angry,
sad,oh god watch clair escap realli quit sad
neutral,go set ipod iphon home screen scroll bottom find twitterfon set
neutral,gut hollyoak xx
sad,caus miss lot class
happy,haaha bang kinda long oop
happy,wish could teach dog play xbox ala thumb
neutral,firefli nathan fillion
happy,thank follow man
happy,excit see samantha denis
neutral,invis car help boost recycl honest
neutral,nice time juno
neutral,want let know heard give f onlin radio program
happy,got jagk shirt mail omg love see saturday
neutral,wanna listen full send
neutral,watch basement jaxx set radio one site
happy,thank definit next season raini come two month time
happy,looooov mcfli video myspac go watch favourit
angry,ugh hate queue
neutral,coffe make
sad,lazi sunday late lunch forget buy pr page 16
neutral,could geocod event api
angry,sorri offend u griffin
happy,beati eye wanna
neutral,well mina gerai first runner well
happy,12 day ca get see paniniii
neutral,give followfriday advic like told
angry,yay st loui traffic
neutral,watch
neutral,ok good know
neutral,boo listen
neutral,watch cartoon
sad,still offic sun shine
happy,lol whole convo consist miss love gotta love us
neutral,ed awak andi feel hot still sleep
sad,lmao that sad kinda discourag 4rom goin shit wack
happy,twitter reunion would awesom meet lol iwond howd iget pull
neutral,wors case scenario take tomorrow still woke
angry,rt need one back whole cd hard one rage flew rhyme flow n 1 u speak dollar
happy,beer pong 6am jess
happy,love hat cool look like fun day love use word crikey
neutral,time
happy,great hous sell come complet ride mower
happy,retweet favorit palin
angry,huff puff
neutral,anoth account
happy,guy follow rx twitterwar dd go ginoooo
sad,argh twitter didnt post repli tweet age aint much enjoy sun
happy,im sowwi lil late lol look good though
happy,doctor anyon wanna somethin bit
neutral,appar
sad,wish sun would shine
sad,mad glee premier till fall
happy,ton fun w muffin today
angry,holi shit bee sting like fuck die
angry,car crash tv worst
happy,mean post concert blue lol well soooo know mean
neutral,meet right afternoon start fill
neutral,share anoth id draft
neutral,red rock lunch colin come ipa junior fresh made yum yum yum
neutral,good night rob sleep well safe travel tomorrow
sad,work work kind orc
neutral,union squar somervill better 87 probabl help zero point though
neutral,still need see movi vampir
neutral,hairspray hair lighter bong new haircut
angry,w gender bias indign fancyp saddler daughter opt leather jacket thank much
angry,block ie6 shit
happy,happi mother day wonder mother world includ
happy,aww happi mother day
angry,talk kat crappi
happy,huge differ temperatur last time huh gotta love dc lol
angry,ugh noth valley serious gotta move
neutral,think lesson day luggag
happy,thank much nice happi hear voic realli start someth good xo
happy,thank kirst post run inspir
neutral,ill post
sad,one call anymor
neutral,littl boy still makin work storm
neutral,gonna hang friend luvin jona episod 1
neutral,download backseat goodby latest album free
happy,awww that love thing u say u manchest x
neutral,yard hous pack three peopl deep bar went pf chang got right
neutral,think josiphina jacqui kill tweetdeck overspam like someon
neutral,yeah right
happy,glad weekend one week left school kid
happy,love smell procrastin morn oder
happy,4 30 friday alreadi got fine china want want want still work
neutral,boat dine bone peru doubl
happy,way home ny sleep
neutral,ohh poor cupcak wave
neutral,happi friday u know get copi bt art u mel fake twitter n find thx
neutral,next time around pleas let know take lunch
happy,haha fail rememb sohcahtoa xd
happy,lol 30 minut slow sec fun tear old poster put new one
neutral,long way sea unless came gloucest dock
happy,sound like great way start mother day enjoy day
sad,wonder rake client made clear net forc dev learn new lang agil ccnet
happy,happi mother day everyon still play pet societi
sad,feel bit lone
neutral,everybodi look new profil pictur click profil
happy,know stormi outsid hair look cute today hahah
happy,experienc uniqu winnipeg tradit known social tri pace
happy,juss drop wife love
sad,milk drink think that what make feel sick
happy,stay hve june exam 4 docent train class need studi hvng zombi movi sunday aftrn u shld come
happy,seen game websit awesom go msn
happy,build radio studio go podcast foundat call insight foundat
happy,tell yo mamma em axe durrin said happi mother day
neutral,maya kibbel facebook myspac page
happy,macarena never look good love aaaaiieee squeak exclam
neutral,omg srri guy 2 focus morn ppl askin question bout direct msg n ima answer
happy,finish sunday clean wait read next chapter kiyosaki book hire cleaner
neutral,back school ms suhana last day ft ocu okay play altnoy
happy,haha hi mum wow yes modern need get facebook account p talk write
neutral,trip igbara postpon next week
neutral,feel bad especi na ngayon pa siya nagrerehab siya wrong time still mayb come
neutral,could anoth one back work monday 7 week good
neutral,
neutral,clean room listen britney
happy,interest girl much potenti mani way
angry,pure twitter friend pure nymph summmit fantabul miss yeee guy
sad,sad hollyoak
happy,scone afternoon great gonna make cupcak week wednesday
happy,home wango tango fun realli tire wrap mom present pass 3
happy,time get educ hope great start monday morn
neutral,tierd want talk
sad,lunch fun noth eat
happy,know feel bright side move place would appreci onward upwad
angry,give hater hug would like mwean peopl
sad,us weekend uk
happy,wow must sooo cool
angry,3 day later order even postcod
neutral,29 sugar mountain peopl tell
happy,happi mother day wonder women great relax day
angry,sometim black girl piss like mother fucker
happy,go away parti amber road trip tomorrow
angry,chair comfort
angry,realli wish road rage damn bad lmaooooo
neutral,row p tri run front corrupt could see sing away
happy,good big cousin shes take littl cousin see hannah montana movi next weekend
neutral,ur right dont reason earli im sure niec room hrs botherin
happy,thank follow
neutral,traffic 405 still see sun
happy,yeah trueee wait till tour dvd come tour epic backstag materi hilari
sad,freak tire like bodi refus move
happy,websit develop let also share video document map event later music
happy,wait hear evp cuuuut pictur
happy,love show would total go time bandit deadliestcatch tpg love ocean crab leg suspens
happy,drunk love u guy
angry,never like boy jerm
neutral,happi mother day mama amaz person ever known proud born daughter
happy,catch read twitter n bf break
happy,happi mother day mark
happy,peac good morn
neutral,yes articl wrote blog ago
sad,made sad
happy,rain cat dog mysor thank pig swine
neutral,follow
neutral,want marti mcflyy shirt
angry,mad quiz 5 answer bet ford fusion sweepstak wrong
neutral,sit awe price renew laptop warranti doubl matter week
neutral,nose safari park leah
happy,reli gdd ty 4 50am lol im sleep im watch tv all good lol
happy,say happi mother day
happy,wish everyon bless beauti mother day
happy,cheer
happy,need watch star trek
neutral,work think rest final summer almost
happy,good luck footag none station break live
happy,dap best lol
neutral,stream video phone
neutral,truth
happy,happi mother day mom forget send card
happy,justin funni snl ciara finna perform
angry,suck
sad,rain go jog hous gym
neutral,beauti
neutral,oh bring back fond memori want leav kitten sent anoth pic balloon
happy,seem happi
neutral,enter giveaway use 25 know could
neutral,h gonna go big hous borrow sis guitar play mayb write
happy,lol kk sent u friend request
angry,hate go dr wast 1 hour half say back pain probli depress stress duhh need fix
sad,today 777 day leakycon 2011 awesom number wish far away
happy,notebook marvel film
angry,wake earlier thought dad want take food 9am no0o0o0o
angry,hop shower help tidi room shit hole mum fuck friend
happy,goodnight beauti world sweet dream oliv juic
happy,camp rock daddi yay
happy,check say good monday morn mamo friend
happy,well im hving anoth one today yey
happy,aw come ur earli love ur youtub vid btw
neutral,juli 8th flight get mate goin hm earli
neutral,almost lost phone
neutral,wish happi mother day mother especi
sad,bore tear without boy dad week
